ID,QuoteID,JobID,Store,ShippingOrderID,LineUpID,CaseID,CaseModel,CaseSerialNum,Department,EstimatedShipDate,WarehouseArrivalDate,StorageStartDate,StorageEndDate,ScheduledDate,ScheduledTime,WarehouseLocation,TrailerOrWarehouse,OriginalOrderID,OriginalTrailerID,TouchedNotTouched,Damage,StrippedDate,DeliveryOrderID,DeliveryTrailerID,DaysInStorage,SquareFootageofCase,StorageCharge,ExtendedPrice,OriginalStoreTag,LHGable,RHGable,NoGable,CompStoreID
1,2,2,NF #7651,240649,,1A,MINI MALMO 4 G3 GONDOLE,C240925015,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
2,2,2,NF #7651,240649,,1B,MINI MALMO 4 G3 12M,C240923003,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,85,2.75,-354967.29,,0,0,0,2
3,2,2,NF #7651,240649,,1C,MINI MALMO 4 G3 GONDOLE,C240925023,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
4,2,2,NF #7651,240649,,2A,MINI MALMO 4 G3 GONDOLE,C241022011,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
5,2,2,NF #7651,240649,,2B,MINI MALMO 4 G3 12M,C240923004,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,85,2.75,-354967.29,,0,0,0,2
6,2,2,NF #7651,240649,,2C,MINI MALMO 4 G3 GONDOLE,C241022010,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
7,2,2,NF #7651,240649,,3A,MINI MALMO 4 G3 GONDOLE,C241022013,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
8,2,2,NF #7651,240649,,3B,MINI MALMO 4 G3 08M,C240923024,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,55,2.75,-229663.54,,0,0,0,2
9,2,2,NF #7651,240649,,3C,MINI MALMO 4 G3 GONDOLE,C241022012,,2024-10-24 0:00,2024-11-04 0:00,2024-11-01 0:00,1900-01-31 0:00,,,CGY,Transferred,P609258,,,0,,,,-45565,30,2.75,-125243.75,,0,0,0,2
10,2,2,NF #7651,848196,,,RL-3,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,35,2.75,159.46,,0,0,0,2
11,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
12,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
13,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
14,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
15,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
16,2,2,NF #7651,848196,,,RL-4,,,2024-12-10 0:00,,1900-01-01 0:00,1900-01-31 0:00,,,,Transferred,,,,0,,,,31,45,2.75,187.88,,0,0,0,2
